wall_ms,raw_message
946686409706,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686409756,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686409806,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686409806,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686409856,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686409916,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686409916,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686409956,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410018,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410018,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410056,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410118,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410118,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410156,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410206,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410206,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410256,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410306,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
